Filename,Cyclomatic Complexity,Halstead Metrics,Maintainability Index,Source Lines of Code (SLOC),Comments Ratio,Number of Parameters,Afferent Coupling,Efferent Coupling,Instability,Syntax Errors
solution_1015.py,0,"{'h1': 1, 'h2': 12, 'N1': 2, 'N2': 26, 'vocabulary': 13, 'length': 28, 'volume': 103.61231210795059, 'difficulty': 1.0833333333333333, 'effort': 112.24667145027979, 'time': 6.235926191682211, 'bugs': 0.03453743736931686}",100,12,0,0,0,1,1,0
solution_1016.py,0,"{'h1': 1, 'h2': 53, 'N1': 2, 'N2': 83, 'vocabulary': 54, 'length': 85, 'volume': 489.1654376838948, 'difficulty': 0.7830188679245284, 'effort': 383.02576724304976, 'time': 21.27920929128054, 'bugs': 0.1630551458946316}",100,13,0.071428571,0,0,1,1,0
solution_1017.py,0,"{'h1': 1, 'h2': 8, 'N1': 2, 'N2': 10, 'vocabulary': 9, 'length': 12, 'volume': 38.039100017307746, 'difficulty': 0.625, 'effort': 23.774437510817343, 'time': 1.3208020839342969, 'bugs': 0.012679700005769248}",100,5,0,0,0,2,1,0
solution_1018.py,0,"{'h1': 1, 'h2': 9, 'N1': 2, 'N2': 13, 'vocabulary': 10, 'length': 15, 'volume': 49.82892142331043, 'difficulty': 0.7222222222222222, 'effort': 35.987554361279756, 'time': 1.999308575626653, 'bugs': 0.01660964047443681}",100,4,0,0,0,0,0,0
solution_1019.py,0,"{'h1': 2, 'h2': 8, 'N1': 2, 'N2': 14, 'vocabulary': 10, 'length': 16, 'volume': 53.150849518197795, 'difficulty': 1.75, 'effort': 93.01398665684614, 'time': 5.167443703158119, 'bugs': 0.017716949839399265}",80.7831177,6,0,0,0,1,1,0
solution_102.py,1,"{'h1': 1, 'h2': 19, 'N1': 5, 'N2': 64, 'vocabulary': 20, 'length': 69, 'volume': 298.213038547228, 'difficulty': 1.6842105263157894, 'effort': 502.25353860585767, 'time': 27.902974366992094, 'bugs': 0.09940434618240933}",100,17,0,2,0,0,0,0
solution_1020.py,0,"{'h1': 1, 'h2': 16, 'N1': 4, 'N2': 31, 'vocabulary': 17, 'length': 35, 'volume': 143.06119944376186, 'difficulty': 0.96875, 'effort': 138.5905369611443, 'time': 7.699474275619128, 'bugs': 0.047687066481253954}",100,10,0,0,0,1,1,0
solution_1021.py,0,"{'h1': 1, 'h2': 14, 'N1': 2, 'N2': 40, 'vocabulary': 15, 'length': 42, 'volume': 164.0894050155578, 'difficulty': 1.4285714285714286, 'effort': 234.41343573651113, 'time': 13.022968652028396, 'bugs': 0.05469646833851926}",100,19,0,0,0,1,1,0
solution_1022.py,0,"{'h1': 1, 'h2': 9, 'N1': 1, 'N2': 16, 'vocabulary': 10, 'length': 17, 'volume': 56.47277761308516, 'difficulty': 0.8888888888888888, 'effort': 50.19802454496458, 'time': 2.788779141386921, 'bugs': 0.018824259204361718}",100,6,0,0,0,1,1,0
solution_1023.py,0,"{'h1': 2, 'h2': 14, 'N1': 5, 'N2': 46, 'vocabulary': 16, 'length': 51, 'volume': 204.0, 'difficulty': 3.2857142857142856, 'effort': 670.2857142857142, 'time': 37.238095238095234, 'bugs': 0.068}",74.30834038,13,0,0,0,1,1,0
solution_1024.py,0,"{'h1': 3, 'h2': 12, 'N1': 6, 'N2': 20, 'vocabulary': 15, 'length': 26, 'volume': 101.57915548582149, 'difficulty': 2.5, 'effort': 253.94788871455373, 'time': 14.10821603969743, 'bugs': 0.033859718495273826}",71.14757563,6,0,0,0,1,1,0
solution_1025.py,0,"{'h1': 1, 'h2': 9, 'N1': 2, 'N2': 13, 'vocabulary': 10, 'length': 15, 'volume': 49.82892142331043, 'difficulty': 0.7222222222222222, 'effort': 35.987554361279756, 'time': 1.999308575626653, 'bugs': 0.01660964047443681}",100,5,0,0,0,1,1,0
solution_1026.py,0,"{'h1': 2, 'h2': 10, 'N1': 3, 'N2': 14, 'vocabulary': 12, 'length': 17, 'volume': 60.94436251225965, 'difficulty': 1.4, 'effort': 85.3221075171635, 'time': 4.740117084286862, 'bugs': 0.02031478750408655}",84.71624628,3,0,0,0,0,0,0
solution_1027.py,0,"{'h1': 4, 'h2': 32, 'N1': 13, 'N2': 68, 'vocabulary': 36, 'length': 81, 'volume': 418.7639251168273, 'difficulty': 4.25, 'effort': 1779.746681746516, 'time': 98.87481565258423, 'bugs': 0.13958797503894244}",60.3919668,20,0,0,0,2,1,0
solution_1028.py,0,"{'h1': 0, 'h2': 8, 'N1': 0, 'N2': 17, 'vocabulary': 8, 'length': 17, 'volume': 51.0, 'difficulty': 0.0, 'effort': 0.0, 'time': 0.0, 'bugs': 0.017}",100,8,0,0,0,1,1,0
solution_1029.py,0,"{'h1': 2, 'h2': 10, 'N1': 4, 'N2': 17, 'vocabulary': 12, 'length': 21, 'volume': 75.28421251514428, 'difficulty': 1.7, 'effort': 127.98316127574526, 'time': 7.110175626430292, 'bugs': 0.025094737505048093}",75.9498926,7,0,0,0,1,1,0
solution_103.py,0,"{'h1': 1, 'h2': 13, 'N1': 1, 'N2': 20, 'vocabulary': 14, 'length': 21, 'volume': 79.9544533632097, 'difficulty': 0.7692307692307693, 'effort': 61.50342566400746, 'time': 3.4168569813337477, 'bugs': 0.02665148445440323}",100,6,0,0,0,1,1,0
solution_1030.py,0,"{'h1': 1, 'h2': 8, 'N1': 2, 'N2': 14, 'vocabulary': 9, 'length': 16, 'volume': 50.718800023076994, 'difficulty': 0.875, 'effort': 44.37895002019237, 'time': 2.4654972233440207, 'bugs': 0.016906266674359}",100,7,0,0,0,1,1,0
solution_1031.py,3,"{'h1': 2, 'h2': 12, 'N1': 2, 'N2': 16, 'vocabulary': 14, 'length': 18, 'volume': 68.53238859703687, 'difficulty': 1.3333333333333333, 'effort': 91.37651812938249, 'time': 5.076473229410138, 'bugs': 0.022844129532345624}",78.12654088,3,0,2,0,0,0,0
solution_1032.py,0,"{'h1': 1, 'h2': 56, 'N1': 5, 'N2': 93, 'vocabulary': 57, 'length': 98, 'volume': 571.6232213881447, 'difficulty': 0.8303571428571429, 'effort': 474.65142490265583, 'time': 26.3695236057031, 'bugs': 0.19054107379604823}",100,22,0,0,0,1,1,0
solution_1033.py,0,"{'h1': 1, 'h2': 7, 'N1': 1, 'N2': 12, 'vocabulary': 8, 'length': 13, 'volume': 39.0, 'difficulty': 0.8571428571428571, 'effort': 33.42857142857142, 'time': 1.8571428571428568, 'bugs': 0.013}",100,6,0.125,0,0,1,1,0
solution_1034.py,0,"{'h1': 1, 'h2': 10, 'N1': 4, 'N2': 19, 'vocabulary': 11, 'length': 23, 'volume': 79.56692722865783, 'difficulty': 0.95, 'effort': 75.58858086722493, 'time': 4.1993656037347185, 'bugs': 0.02652230907621928}",100,7,0,0,0,2,1,0
solution_1035.py,0,"{'h1': 0, 'h2': 8, 'N1': 0, 'N2': 19, 'vocabulary': 8, 'length': 19, 'volume': 57.0, 'difficulty': 0.0, 'effort': 0.0, 'time': 0.0, 'bugs': 0.019}",100,9,0,0,0,1,1,0
solution_1036.py,0,"{'h1': 1, 'h2': 4, 'N1': 1, 'N2': 6, 'vocabulary': 5, 'length': 7, 'volume': 16.253496664211536, 'difficulty': 0.75, 'effort': 12.190122498158651, 'time': 0.6772290276754807, 'bugs': 0.005417832221403845}",100,4,0,0,0,1,1,0
solution_1037.py,0,"{'h1': 1, 'h2': 7, 'N1': 1, 'N2': 13, 'vocabulary': 8, 'length': 14, 'volume': 42.0, 'difficulty': 0.9285714285714286, 'effort': 39.0, 'time': 2.1666666666666665, 'bugs': 0.014}",100,6,0,0,0,1,1,0
solution_1038.py,3,"{'h1': 3, 'h2': 18, 'N1': 5, 'N2': 37, 'vocabulary': 21, 'length': 42, 'volume': 184.47733175670794, 'difficulty': 3.083333333333333, 'effort': 568.8051062498495, 'time': 31.600283680547193, 'bugs': 0.06149244391890265}",69.77222403,13,0,1,0,0,0,0
solution_1039.py,0,"{'h1': 1, 'h2': 14, 'N1': 3, 'N2': 32, 'vocabulary': 15, 'length': 35, 'volume': 136.74117084629816, 'difficulty': 1.1428571428571428, 'effort': 156.27562382434076, 'time': 8.681979101352264, 'bugs': 0.045580390282099384}",100,8,0,0,0,1,1,0
solution_104.py,0,"{'h1': 1, 'h2': 7, 'N1': 2, 'N2': 12, 'vocabulary': 8, 'length': 14, 'volume': 42.0, 'difficulty': 0.8571428571428571, 'effort': 36.0, 'time': 2.0, 'bugs': 0.014}",100,5,0,0,0,0,0,0
solution_1040.py,2,"{'h1': 3, 'h2': 21, 'N1': 3, 'N2': 37, 'vocabulary': 24, 'length': 40, 'volume': 183.39850002884623, 'difficulty': 2.642857142857143, 'effort': 484.69603579052216, 'time': 26.9275575439179, 'bugs': 0.06113283334294874}",75.28967674,8,0,1,0,1,1,0
solution_1041.py,0,"{'h1': 1, 'h2': 11, 'N1': 2, 'N2': 25, 'vocabulary': 12, 'length': 27, 'volume': 96.79398751947122, 'difficulty': 1.1363636363636365, 'effort': 109.99316763576276, 'time': 6.110731535320153, 'bugs': 0.032264662506490405}",100,7,0,0,0,1,1,0
solution_1042.py,0,"{'h1': 0, 'h2': 10, 'N1': 0, 'N2': 28, 'vocabulary': 10, 'length': 28, 'volume': 93.01398665684614, 'difficulty': 0.0, 'effort': 0.0, 'time': 0.0, 'bugs': 0.031004662218948716}",100,13,0,0,0,1,1,0
solution_1043.py,0,"{'h1': 3, 'h2': 19, 'N1': 7, 'N2': 25, 'vocabulary': 22, 'length': 32, 'volume': 142.7018117963935, 'difficulty': 1.973684210526316, 'effort': 281.64831275603984, 'time': 15.647128486446658, 'bugs': 0.04756727059879784}",73.98553596,5,0,0,0,0,0,0
solution_1044.py,0,"{'h1': 2, 'h2': 13, 'N1': 6, 'N2': 21, 'vocabulary': 15, 'length': 27, 'volume': 105.48604608143, 'difficulty': 1.6153846153846154, 'effort': 170.40053597769463, 'time': 9.466696443205258, 'bugs': 0.03516201536047667}",74.03933454,9,0,0,0,2,1,0
solution_1045.py,0,"{'h1': 1, 'h2': 26, 'N1': 2, 'N2': 35, 'vocabulary': 27, 'length': 37, 'volume': 175.93083758004832, 'difficulty': 0.6730769230769231, 'effort': 118.41498683272484, 'time': 6.578610379595824, 'bugs': 0.05864361252668277}",100,11,0,0,0,1,1,0
solution_1046.py,0,"{'h1': 1, 'h2': 17, 'N1': 6, 'N2': 73, 'vocabulary': 18, 'length': 79, 'volume': 329.42407511394265, 'difficulty': 2.1470588235294117, 'effort': 707.2928671564063, 'time': 39.294048175355904, 'bugs': 0.10980802503798089}",100,11,0,0,0,1,1,0
solution_1047.py,0,"{'h1': 1, 'h2': 7, 'N1': 2, 'N2': 14, 'vocabulary': 8, 'length': 16, 'volume': 48.0, 'difficulty': 1.0, 'effort': 48.0, 'time': 2.6666666666666665, 'bugs': 0.016}",100,4,0,0,0,0,0,0
solution_1048.py,0,"{'h1': 2, 'h2': 9, 'N1': 4, 'N2': 15, 'vocabulary': 11, 'length': 19, 'volume': 65.72920075410865, 'difficulty': 1.6666666666666667, 'effort': 109.54866792351442, 'time': 6.086037106861912, 'bugs': 0.02190973358470288}",79.87684563,5,0,0,0,1,1,0
solution_1049.py,5,"{'h1': 4, 'h2': 17, 'N1': 11, 'N2': 38, 'vocabulary': 21, 'length': 49, 'volume': 215.22355371615927, 'difficulty': 4.470588235294118, 'effort': 962.1758872016533, 'time': 53.454215955647406, 'bugs': 0.07174118457205308}",64.60145799,11,0,2,0,0,0,0
solution_105.py,1,"{'h1': 1, 'h2': 15, 'N1': 2, 'N2': 26, 'vocabulary': 16, 'length': 28, 'volume': 112.0, 'difficulty': 0.8666666666666667, 'effort': 97.06666666666666, 'time': 5.392592592592592, 'bugs': 0.037333333333333336}",100,11,0.142857143,2,0,1,1,0
solution_1050.py,0,"{'h1': 1, 'h2': 7, 'N1': 1, 'N2': 9, 'vocabulary': 8, 'length': 10, 'volume': 30.0, 'difficulty': 0.6428571428571429, 'effort': 19.28571428571429, 'time': 1.0714285714285716, 'bugs': 0.01}",100,4,0,0,0,2,1,0
solution_1051.py,0,"{'h1': 1, 'h2': 8, 'N1': 2, 'N2': 23, 'vocabulary': 9, 'length': 25, 'volume': 79.2481250360578, 'difficulty': 1.4375, 'effort': 113.91917973933309, 'time': 6.328843318851838, 'bugs': 0.026416041678685935}",80.40255856,5,0,0,0,1,1,0
solution_1052.py,2,"{'h1': 1, 'h2': 10, 'N1': 1, 'N2': 15, 'vocabulary': 11, 'length': 16, 'volume': 55.35090589819676, 'difficulty': 0.75, 'effort': 41.51317942364757, 'time': 2.3062877457581985, 'bugs': 0.018450301966065584}",100,5,0,1,0,0,0,0
solution_1053.py,0,"{'h1': 1, 'h2': 9, 'N1': 2, 'N2': 18, 'vocabulary': 10, 'length': 20, 'volume': 66.43856189774725, 'difficulty': 1.0, 'effort': 66.43856189774725, 'time': 3.691031216541514, 'bugs': 0.02214618729924908}",100,6,0,0,0,1,1,0
solution_1054.py,1,"{'h1': 1, 'h2': 29, 'N1': 6, 'N2': 58, 'vocabulary': 30, 'length': 64, 'volume': 314.0409981189452, 'difficulty': 1.0, 'effort': 314.0409981189452, 'time': 17.446722117719176, 'bugs': 0.10468033270631506}",100,17,0,2,0,1,1,0
solution_1055.py,0,"{'h1': 1, 'h2': 12, 'N1': 3, 'N2': 16, 'vocabulary': 13, 'length': 19, 'volume': 70.30835464468075, 'difficulty': 0.6666666666666666, 'effort': 46.872236429787165, 'time': 2.604013134988176, 'bugs': 0.02343611821489358}",100,7,0,0,0,2,1,0
solution_1056.py,0,"{'h1': 1, 'h2': 25, 'N1': 2, 'N2': 47, 'vocabulary': 26, 'length': 49, 'volume': 230.3215461889135, 'difficulty': 0.94, 'effort': 216.50225341757866, 'time': 12.027902967643259, 'bugs': 0.07677384872963783}",100,9,0,0,0,1,1,0
solution_1057.py,1,"{'h1': 3, 'h2': 8, 'N1': 3, 'N2': 11, 'vocabulary': 11, 'length': 14, 'volume': 48.432042660922164, 'difficulty': 2.0625, 'effort': 99.89108798815197, 'time': 5.549504888230665, 'bugs': 0.01614401422030739}",75.43505865,5,0,1,0,0,0,0
solution_1058.py,0,"{'h1': 1, 'h2': 22, 'N1': 2, 'N2': 42, 'vocabulary': 23, 'length': 44, 'volume': 199.03672606650858, 'difficulty': 0.9545454545454546, 'effort': 189.98960215439456, 'time': 10.554977897466365, 'bugs': 0.06634557535550285}",100,12,0,0,0,0,0,0
solution_1059.py,2,"{'h1': 2, 'h2': 22, 'N1': 3, 'N2': 48, 'vocabulary': 24, 'length': 51, 'volume': 233.83308753677895, 'difficulty': 2.1818181818181817, 'effort': 510.18128189842673, 'time': 28.343404549912595, 'bugs': 0.07794436251225965}",69.98805349,14,0,1,0,0,0,0
solution_106.py,2,"{'h1': 1, 'h2': 8, 'N1': 1, 'N2': 15, 'vocabulary': 9, 'length': 16, 'volume': 50.718800023076994, 'difficulty': 0.9375, 'effort': 47.548875021634686, 'time': 2.6416041678685938, 'bugs': 0.016906266674359}",78.01508585,5,0,1,0,0,0,0
solution_1060.py,1,"{'h1': 1, 'h2': 22, 'N1': 6, 'N2': 84, 'vocabulary': 23, 'length': 90, 'volume': 407.1205760451312, 'difficulty': 1.9090909090909092, 'effort': 777.2301906316142, 'time': 43.179455035089674, 'bugs': 0.1357068586817104}",100,45,0,2,0,0,0,0
solution_1061.py,0,"{'h1': 1, 'h2': 8, 'N1': 1, 'N2': 9, 'vocabulary': 9, 'length': 10, 'volume': 31.69925001442312, 'difficulty': 0.5625, 'effort': 17.830828133113005, 'time': 0.9906015629507225, 'bugs': 0.010566416671474373}",100,6,0,0,0,3,1,0
solution_1062.py,5,"{'h1': 7, 'h2': 17, 'N1': 11, 'N2': 54, 'vocabulary': 24, 'length': 65, 'volume': 298.0225625468751, 'difficulty': 11.117647058823529, 'effort': 3313.3096659623175, 'time': 184.07275922012875, 'bugs': 0.0993408541822917}",60.73882817,17,0,1,0,1,1,0
solution_1063.py,1,"{'h1': 0, 'h2': 12, 'N1': 0, 'N2': 16, 'vocabulary': 12, 'length': 16, 'volume': 57.3594000115385, 'difficulty': 0.0, 'effort': 0.0, 'time': 0.0, 'bugs': 0.019119800003846166}",100,3,0,2,0,0,0,0
solution_1064.py,0,"{'h1': 1, 'h2': 9, 'N1': 1, 'N2': 15, 'vocabulary': 10, 'length': 16, 'volume': 53.150849518197795, 'difficulty': 0.8333333333333334, 'effort': 44.292374598498164, 'time': 2.4606874776943424, 'bugs': 0.017716949839399265}",100,5,0,0,0,1,1,0
solution_1065.py,0,"{'h1': 5, 'h2': 15, 'N1': 9, 'N2': 32, 'vocabulary': 20, 'length': 41, 'volume': 177.19905189038187, 'difficulty': 5.333333333333333, 'effort': 945.0616100820366, 'time': 52.50342278233537, 'bugs': 0.05906635063012729}",67.1638976,9,0,0,0,1,1,0
solution_1066.py,3,"{'h1': 3, 'h2': 10, 'N1': 4, 'N2': 25, 'vocabulary': 13, 'length': 29, 'volume': 107.31275182609167, 'difficulty': 3.75, 'effort': 402.42281934784376, 'time': 22.35682329710243, 'bugs': 0.03577091727536389}",71.55988338,8,0,1,0,0,0,0
solution_1067.py,0,"{'h1': 1, 'h2': 11, 'N1': 3, 'N2': 16, 'vocabulary': 12, 'length': 19, 'volume': 68.11428751370197, 'difficulty': 0.7272727272727273, 'effort': 49.5376636463287, 'time': 2.752092424796039, 'bugs': 0.022704762504567322}",100,5,0,0,0,0,0,0
solution_1068.py,0,"{'h1': 1, 'h2': 12, 'N1': 2, 'N2': 22, 'vocabulary': 13, 'length': 24, 'volume': 88.81055323538621, 'difficulty': 0.9166666666666666, 'effort': 81.40967379910403, 'time': 4.522759655505779, 'bugs': 0.029603517745128736}",100,9,0.181818182,0,0,1,1,0
solution_1069.py,0,"{'h1': 2, 'h2': 7, 'N1': 3, 'N2': 14, 'vocabulary': 9, 'length': 17, 'volume': 53.8887250245193, 'difficulty': 2.0, 'effort': 107.7774500490386, 'time': 5.987636113835478, 'bugs': 0.017962908341506434}",79.32274283,7,0,0,0,1,1,0
solution_107.py,0,"{'h1': 1, 'h2': 8, 'N1': 1, 'N2': 17, 'vocabulary': 9, 'length': 18, 'volume': 57.05865002596162, 'difficulty': 1.0625, 'effort': 60.62481565258422, 'time': 3.3680453140324564, 'bugs': 0.019019550008653872}",100,8,0,0,0,1,1,0
solution_1070.py,0,"{'h1': 3, 'h2': 20, 'N1': 8, 'N2': 44, 'vocabulary': 23, 'length': 52, 'volume': 235.22522171496468, 'difficulty': 3.3000000000000003, 'effort': 776.2432316593835, 'time': 43.12462398107686, 'bugs': 0.07840840723832156}",65.58856392,16,0,0,0,2,1,0
solution_1071.py,0,"{'h1': 1, 'h2': 14, 'N1': 1, 'N2': 25, 'vocabulary': 15, 'length': 26, 'volume': 101.57915548582149, 'difficulty': 0.8928571428571429, 'effort': 90.69567454091205, 'time': 5.038648585606225, 'bugs': 0.033859718495273826}",100,10,0,0,0,2,1,0
solution_1072.py,0,"{'h1': 3, 'h2': 8, 'N1': 8, 'N2': 17, 'vocabulary': 11, 'length': 25, 'volume': 86.48579046593244, 'difficulty': 3.1875, 'effort': 275.67345711015963, 'time': 15.315192061675535, 'bugs': 0.02882859682197748}",77.01737537,3,0,0,0,0,0,0
solution_1073.py,0,"{'h1': 2, 'h2': 9, 'N1': 3, 'N2': 14, 'vocabulary': 11, 'length': 17, 'volume': 58.81033751683405, 'difficulty': 1.5555555555555556, 'effort': 91.48274724840853, 'time': 5.082374847133807, 'bugs': 0.019603445838944685}",76.42020807,7,0,0,0,2,1,0
solution_1074.py,1,"{'h1': 1, 'h2': 26, 'N1': 3, 'N2': 37, 'vocabulary': 27, 'length': 40, 'volume': 190.19550008653874, 'difficulty': 0.7115384615384616, 'effort': 135.33141352311412, 'time': 7.518411862395229, 'bugs': 0.06339850002884624}",100,15,0,1,0,2,1,0
solution_1075.py,0,"{'h1': 1, 'h2': 21, 'N1': 3, 'N2': 65, 'vocabulary': 22, 'length': 68, 'volume': 303.2413500673362, 'difficulty': 1.5476190476190477, 'effort': 469.30208938992513, 'time': 26.072338299440286, 'bugs': 0.10108045002244541}",100,13,0,0,0,1,1,0
solution_1076.py,1,"{'h1': 2, 'h2': 17, 'N1': 6, 'N2': 44, 'vocabulary': 19, 'length': 50, 'volume': 212.39637567217926, 'difficulty': 2.588235294117647, 'effort': 549.7317958574051, 'time': 30.540655325411397, 'bugs': 0.07079879189072642}",67.30746005,13,0,1,0,0,0,0
solution_1077.py,0,"{'h1': 1, 'h2': 14, 'N1': 2, 'N2': 23, 'vocabulary': 15, 'length': 25, 'volume': 97.67226489021297, 'difficulty': 0.8214285714285714, 'effort': 80.23078901696066, 'time': 4.457266056497814, 'bugs': 0.03255742163007099}",100,6,0,0,0,1,1,0
solution_1078.py,0,"{'h1': 1, 'h2': 49, 'N1': 2, 'N2': 81, 'vocabulary': 50, 'length': 83, 'volume': 468.44006375130215, 'difficulty': 0.826530612244898, 'effort': 387.1800526924028, 'time': 21.51000292735571, 'bugs': 0.1561466879171007}",100,14,0.0625,0,0,2,1,0
solution_1079.py,0,"{'h1': 1, 'h2': 15, 'N1': 3, 'N2': 25, 'vocabulary': 16, 'length': 28, 'volume': 112.0, 'difficulty': 0.8333333333333334, 'effort': 93.33333333333334, 'time': 5.185185185185186, 'bugs': 0.037333333333333336}",100,5,0,0,0,0,0,0
solution_108.py,0,"{'h1': 1, 'h2': 5, 'N1': 1, 'N2': 8, 'vocabulary': 6, 'length': 9, 'volume': 23.264662506490403, 'difficulty': 0.8, 'effort': 18.611730005192324, 'time': 1.0339850002884625, 'bugs': 0.007754887502163467}",100,11,0,0,0,1,1,0
solution_1080.py,0,"{'h1': 1, 'h2': 9, 'N1': 1, 'N2': 15, 'vocabulary': 10, 'length': 16, 'volume': 53.150849518197795, 'difficulty': 0.8333333333333334, 'effort': 44.292374598498164, 'time': 2.4606874776943424, 'bugs': 0.017716949839399265}",100,5,0,0,0,1,1,0
